#{"t_start": 1770904748.212053, "env_id": "None"}
r,l,t
-41.531452,78,33.895777
-65.223365,94,33.918674
-36.539987,85,33.939274
-45.504026,100,33.963849
-34.147558,108,33.989686
-32.987826,85,34.009944
-41.19411,77,34.028359
-26.174527,83,34.04798
-63.424575,94,34.070284
-59.738478,117,34.097931
-69.312826,87,34.118633
-35.588992,103,34.765841
-45.76624,120,34.801145
-52.254649,94,34.827807
-24.986162,137,34.86599
-43.853718,78,34.888369
-55.035813,74,34.909895
-67.707163,109,34.94123
-46.890813,132,34.975078
-52.9586,95,34.997727
-57.680822,93,35.022766
-50.568565,84,35.043008
-35.278927,87,35.063806
-56.917497,86,35.084164
-74.840345,131,35.115177
-48.573486,111,35.141529
-65.105923,96,35.164322
-44.473958,126,35.194561
-36.611506,74,35.212347
-63.552452,123,35.245514
-69.860408,116,35.273963
-40.203392,82,35.902832
-44.192603,124,35.938506
-55.532394,133,35.976563
-48.811231,80,36.001235
-36.55516,116,36.034369
-33.953587,110,36.067824
-54.285768,116,36.098933
-42.022417,101,36.124367
-42.202028,74,36.143048
-33.949532,97,36.167131
-38.498125,96,36.192084
-52.879816,85,36.212602
-59.458946,118,36.241147
-66.211092,87,36.26343
-58.346537,90,36.286136
-57.742401,102,36.313651
-67.330364,95,36.337351
-33.230072,127,36.368378
-47.301241,98,36.392376
-42.793006,99,36.418377
-39.052219,122,37.068841
-57.531547,123,37.104213
-55.101739,113,37.136044
-35.664851,103,37.164724
-40.863423,91,37.191137
-53.250541,99,37.220077
-27.677375,105,37.25013
-70.176384,113,37.279119
-38.009851,95,37.304067
-41.566422,112,37.332038
-61.99737,121,37.362067
-35.437639,77,37.3812
-38.259187,69,37.398518
-47.110374,87,37.419621
-56.871128,113,37.447362
-45.87535,122,37.477459
-36.336785,83,37.497947
-58.830765,139,37.531758
-33.149235,89,37.553635
-63.063464,101,37.590202
-29.028203,91,38.227833
-55.124904,109,38.258178
-67.165769,130,38.296146
-35.414292,81,38.319904
-65.724901,119,38.353584
-46.948618,100,38.382516
-52.390313,108,38.413499
-56.649278,124,38.449889
-30.424081,99,38.479735
-44.996223,73,38.49981
-33.961628,77,38.519837
-42.542279,78,38.542254
-68.89885,101,38.569542
-59.097748,107,38.598072
-23.052699,99,38.624724
-51.414951,95,38.648562
-54.156853,89,38.672845
-32.292097,72,38.690618
-31.61294,79,38.711729
-70.276811,124,38.742446
-33.292188,119,39.415673
-48.658176,112,39.454818
-45.712123,103,39.490945
-21.707402,99,39.525468
-52.160965,101,39.560052
-50.651243,81,39.588598
-63.088617,110,39.627174
-38.414127,95,39.658971
-40.90784,74,39.687139
-40.595577,70,39.710034
-69.455102,167,39.764362
-51.398592,95,39.792693
-34.991193,125,39.828447
-39.38488,147,39.868274
-61.971668,101,39.893698
-33.962714,71,39.911575
-30.906088,131,39.947422
-35.211447,123,39.979454
-63.041127,92,40.002465
-40.244637,122,40.03198
7.434991,226,40.788021
-56.154568,101,40.824492
-34.431907,70,40.848811
-29.059906,122,40.890273
-28.842384,93,40.921594
-65.18813,105,40.956383
-31.732256,102,40.990092
-33.804067,129,41.031521
-39.114537,130,41.069294
-36.039265,67,41.097258
-30.366195,114,41.135642
-34.723599,104,41.171978
-33.709734,66,41.190812
-51.609935,103,41.220985
-32.950689,68,41.238775
-37.786298,97,41.263438
-50.400958,114,41.300965
-35.172248,79,41.323827
-63.133451,117,41.353564
-27.35534,75,42.018418
-43.284603,121,42.058246
-62.351464,111,42.093957
-35.460115,97,42.124815
-39.116337,126,42.166178
-46.165141,126,42.209911
-32.560344,147,42.262331
-28.56358,88,42.294908
-62.746714,130,42.333856
-29.354684,122,42.369252
-16.014196,118,42.406123
-20.921452,109,42.437047
-57.018493,90,42.463897
-50.824704,88,42.487879
-29.764283,77,42.506645
-25.718993,105,42.532436
-46.426445,110,42.561006
-32.26959,97,42.585006
-46.072389,93,42.607459
-14.292172,135,43.283654
-59.414629,119,43.326182
-6.869901,141,43.376227
-15.929398,103,43.410917
-42.029592,119,43.451331
-35.229858,100,43.487614
-21.819969,221,43.566017
-15.892635,120,43.605727
-44.915575,85,43.629702
-41.997194,165,43.676846
-32.040614,81,43.698083
-60.395349,108,43.725895
-48.308282,87,43.747513
-28.301634,175,43.790267
-51.240156,115,43.818078
-33.141081,134,43.849805
-46.567853,113,43.876985
-51.51043,148,44.579291
-16.96914,95,44.611881
-12.999878,112,44.650369
-74.530982,147,44.703041
-12.397656,211,44.779051
-44.344921,95,44.810078
-52.088206,99,44.842422
-34.674373,178,44.891878
-31.978023,83,44.914123
-10.071078,141,44.951596
-26.045157,176,44.996325
-33.206192,118,45.025287
-25.596828,137,45.058192
-36.733414,114,45.085248
-13.340584,205,45.78529
-21.532559,95,45.81831
-7.737525,171,45.87972
-75.209122,175,45.941424
-44.721484,117,45.984521
-39.18124,61,46.005148
-53.085063,103,46.038015
-21.887403,82,46.063906
-21.080677,212,46.125731
-36.823794,116,46.157991
-57.54359,91,46.182832
-45.616518,87,46.206499
-47.306776,102,46.233947
-15.113089,110,46.263563
-16.782643,99,46.28959
-24.806814,82,46.310961
-11.970648,130,46.349843
-21.912353,77,46.37406
-42.037846,93,46.400999
-47.255859,181,47.16232
-29.748227,88,47.192851
-15.871429,129,47.236754
-26.810923,106,47.271622
-54.309181,185,47.333263
-47.913988,74,47.357069
-56.593087,88,47.386651
-20.127186,123,47.423015
-42.629258,96,47.453166
-19.768439,91,47.48073
-30.350207,64,47.500672
-33.044473,164,47.54546
-10.116472,159,47.586768
-39.42635,98,47.611902
-36.69646,193,47.669446
-47.020729,88,47.692759
-56.12585,107,47.718534
-38.131613,131,48.435455
-42.877775,138,48.485143
-24.222546,78,48.512301
-50.68569,141,48.564356
-47.828918,82,48.594971
-16.880665,128,48.638459
-27.662079,149,48.690334
-31.474165,71,48.711575
-39.299608,168,48.769295
-24.642527,74,48.793142
-49.733858,146,48.835393
-20.388459,208,48.889546
-54.294201,194,48.940171
-29.466158,104,48.965682
-36.393536,120,48.995632
-6.247947,228,49.709712
-25.156615,83,49.738333
-54.501357,109,49.774632
-45.485417,100,49.807464
-16.402145,164,49.861131
-18.944095,139,49.912053
-48.051587,101,49.954922
-56.167592,128,49.994184
-30.038466,71,50.016513
-43.055294,110,50.050319
-43.067891,98,50.077768
-53.194569,121,50.113219
-19.672535,116,50.143426
-13.578317,228,50.20335
-25.079262,78,50.222924
-26.509186,144,50.262562
4.061003,201,50.963727
-52.063544,104,51.001373
-16.040303,183,51.064545
-44.430651,97,51.098688
-20.643503,104,51.13429
-34.17977,117,51.174496
-33.532892,182,51.234802
-45.303784,103,51.269838
-23.843931,73,51.299781
-10.092277,203,51.372534
-29.280047,68,51.394245
-27.003551,75,51.418552
-37.242389,160,51.470021
-30.950481,122,51.504202
-20.644244,150,51.543835
5.228924,132,51.58394
-19.708096,102,51.6163
-38.466976,161,52.329641
-11.913316,105,52.36518
-47.117078,137,52.411819
-5.30351,118,52.450744
-40.474571,126,52.490858
2.725197,147,52.535731
-25.89313,87,52.560893
-20.265925,94,52.588605
-21.670129,87,52.613023
16.833949,178,52.660691
-44.495207,116,52.690833
-44.639257,96,52.715781
-25.3852,129,52.748266
-26.074264,81,52.768462
-5.291677,134,52.801837
-46.483415,174,52.844096
-21.430296,97,52.867533
